ecclesiastica proprietà persona giuridica
proprietà persona
proprietà persona giuridica
manoscritta punzone
nota manoscritta punzone
riferimento autoriale
riferimento note
riproduzione di disegno tecnico
scopo di lucro detenzione
scavo clandestino
eventuali schede
indagine territoriale
eventuale volume
modello di scheda
valori negativi
ambito extraurbano
eventuali codici identificativi
negativo colore
scadenza previste
tipo di riferimento
singoli file
anno preciso
abbazia benedettina cistercense
acquisto alienazione aggiudicazione
alienazione aggiudicazione
analisi iconografica analisi stilistica
iconografica analisi stilistica
vocabolario aperto archeologia
vocabolario aperto archeologia preventiva
alienazione assegnazione
battistero biblioteca
campo ise
catalogo relativa
cavallo di secoli
distruzione per evento
distruzione per evento naturale
documento videocinematografico
mm film super
georeferenziazione puntuale
fotointerpretazione indagine
fotointerpretazione indagine territoriale
modalità di compilazione
pollice video
prodotto video-cinematografico
proprietà pubblica
quota massima assoluta
repubblicana-età imperiale
prospezione subacquea rinvenimento
prospezione subacquea rinvenimento fortuito
subacquea rinvenimento
subacquea rinvenimento fortuito
scheda di catalogo relativa
supporti di proprietà
maggiore versatilità
mm video
villa ecc
ambasciate italiane
diocesi italiane
soggetto organizzatore
coordinata x
sola scheda
autori personali
riproduzione di disegno
funzionari responsabili
intervallo di anni
numero di livello
coordinata z
letteratura archeologica
campagna catalografica
campo rse
codici di inventario
contesto documentazione
fogli catastali diversi
fogli catastali diversi pertinenti
firma grafia fonte
firma grafia fonte archivistica
grafia fonte
grafia fonte archivistica
positivo colore fotografia
firma grafia
indicazioni geografico-amministrative necessarie
informazioni catalografiche
inizio inizio
quarto inizio
ultimo quarto inizio
inventariazione patrimoniale
definitiva licenza
temporanea licenza
livelli descrittivi
demoetnoantropologici materiali
demoetnoantropologici materiali beni
materiali beni
metodo di georeferenziazione
metà fine
beni naturalistici-mineralogia
beni naturalistici-mineralogia beni
naturalistici-mineralogia beni
beni naturalistici-petrologia
organizzazioni amministrativo-territoriali
perdita recupero
responsabile responsabile
responsabile responsabile scientifico
fortuito scavo
fortuito scavo clandestino
rinvenimento fortuito scavo
rinvenimento fortuito scavo clandestino
scavo clandestino ecc
manoscritta punzone sigla
specifiche utili
sequestro successione
alluvione terremoto
unità stratigrafica
licenza di esportazione
eventuali date
standard catalografici
tipo di misura
motivi legati
titolo in base
operazione di revisione
operazioni di revisione
funzionario responsabile
sistema di riferimento
strumenti terminologici
paese estero
diffusione pubblica
tecnici relativi
anno di edizione
riferimento ecc
intervento di scavo
file rcg-ricognizione
file rcg-ricognizione archeologica
rcg-ricognizione archeologica
acquisizione diretta con fotocamere
acquisizione diretta con fotocamere digitali
ala destra ala
ala destra ala sinistra
destra ala
destra ala sinistra
alfabeto latino attuale
ambito culturale di riferimento
chiuso analisi diagnostiche
vocabolario chiuso analisi diagnostiche
anno senza data
aperto archeologia preventiva fotointerpretazione
archeologia preventiva fotointerpretazione
attività di nuova catalogazione
eventuali attività
contributo più autori
più autori
infrarossi negativo b
beni di proprietà pubblica
stesso bene culturale
bibliografia di confronto bibliografia
bibliografia di confronto libro
confronto bibliografia
esame bibliografia
inizio campo
carta capitolo
caratteri di interpunzione
chiusura di parentesi
citazioni per la bibliografia
stesso codice univoco
collocazione inventariale
colore fermo-immagine
diapositiva colore fermo-immagine
mini compact
mini compact disc
complesso monumentale di appartenenza
contenitore fisico complesso
contenitore fisico complesso monumentale
fisico complesso
fisico complesso monumentale
condizioni di proprietà
immobile contenitore
contributi in raccolte
contributi in raccolte miscellanee
contributo più
data senza luogo
data senza luogo sub
dati utili per la citazione
raccolta pubblica dati
definizione prescelta
digitalizzazione di originali
digitalizzazione di originali analogici
compact disc disco
disc disco
progetto disegno
confronto contesto documentazione
documentazioni grafiche
eccezione per i nomi
eccezione per i nomi propri
edizione in esponente
elementi conseguenti
elemento con obbligatorietà assoluta
entrambi elemento
contesto documentazione esame
flussi di lavoro previsti
foglio manoscritto nota
fonti bibliografiche edite
forme di datazione
bibliografia fotografia
bibliografia fotografia digitale
colore fermo-immagine fotografia
colore fermo-immagine fotografia aerea
colore fotografia aerea
fermo-immagine fotografia
fermo-immagine fotografia aerea
positivo colore fotografia aerea
fotografo principale
genere di documentazione bibliografica
genere per i beni
indicazioni per la diffusione
indicazioni per la diffusione pubblica
informazioni riservate per motivi
lettere in carattere maiuscolo
lettere in carattere minuscolo
confronto libro
esplicative livello basso
note esplicative livello basso
localizzazione di nascita
localizzazione estera
fabbricazione luogo
modalità descrittiva applicata
particolare modalità
particolare modalità descrittiva
particolare modalità descrittiva applicata
fotografici monumenti
fotografici monumenti archeologici
nastro magnetico in bobina
manoscritto nota numero
manoscritto nota numero nuova
nota numero nuova
nota numero nuova serie
numeri di pagina iniziale
numero nuova
numero nuova serie
operazioni di informatizzazione
originali analogici
monastero oratorio ospedale
oratorio ospedale
nuova serie pagina
serie pagina
ospizio palazzo
pagina paragrafo
paragrafo senza anno
serie pagina paragrafo
parte tipo
parti con attributi
parti con attributi specifici
passato per il bene
manico piedistallo
progetto di riferimento note
quota minima assoluta
raccolte miscellanee
raggi infrarossi negativo
redazione responsabile
redazione responsabile ricerca
fortuito scavo clandestino ecc
scheda considerata
schede con profilo
schede di vulnerabilità
schede in rapporto
schedatura in riferimento
separatore per i numeri
separatore per i numeri decimali
soppressi in occasione
sottocampo obbligatorio
appropriata specifica
luogo sub
successione senza spazi
sub voce tabella
voce tabella
tabella tavola
voce tabella tavola
più termini
testa femminile in ceramica
tipo di scheda precedente
tabella tavola tomo
tavola tomo
luogo sub voce
volume singolare
pubblicazione di riferimento
opera enciclopedica
diverse denominazioni
cartografia storica
attestato di libera circolazione
recupero dati
settori urbani
abiti complessi
anni di edizione
bibliografia di corredo
specifica colonna
contributi in periodici
esempi di riferimento
libro cattolico
luogo di rilevamento
sola particella
punto di vista catalografico
scheda precedente
sequenza di particelle
vista catalografico
volume in numeri arabi
esatta denominazione
enti collettivi
opera in esame
eventuali informazioni aggiuntive
data iniziale
post quem
scheda principale
tipo di punto
specifico aspetto tecnico
attività di ispezione diverse
attività di rilevamento
attribuzione di tale profilo
autori collettivi
bene con riferimento
bene in esame bibliografia
bene in modo adeguato
bibliografia di corredo bibliografia
corredo bibliografia
esplicative bibliografia
note esplicative bibliografia
campi con livello
successivo campo
caso di ulteriori scomposizioni
commi di riferimento
diritto di prelazione individuazione
documentazioni audio
documentazioni video-cinematografiche
documento audio integrativo
immagine documenti
tale immagine documenti
esame per finalità
esame per finalità diverse
finalità diverse
archivistica fotografia
archivistica fotografia digitale
fonte archivistica fotografia
fonte archivistica fotografia digitale
georeferenziazione tecnica
